czname,gini96,rank_slope,abs_mob_p25
CZ-2926,0.2836,0.2547,0.364
CZ-1959,0.5088,0.1281,0.6089
CZ-4573,0.2504,0.3463,0.5276
CZ-8394,0.4025,0.2895,0.5158
CZ-5696,0.3969,0.2635,0.7624
CZ-7090,0.3499,0.4759,0.685
CZ-8171,0.3794,0.3501,0.4539
CZ-7694,0.4842,0.3328,0.3755
CZ-9429,0.5024,0.1948,0.3999
CZ-6539,0.3281,0.2416,0.5734
CZ-6324,0.3467,0.3189,0.4917
CZ-2891,0.3227,0.337,0.467
CZ-4416,0.394,0.1533,0.6606
CZ-1459,0.455,0.2691,0.4452
CZ-1542,0.3185,0.3256,0.7922
CZ-2716,0.3492,0.298,0.5142
CZ-4300,0.5291,0.1962,0.642
CZ-8418,0.2646,0.2975,0.5818
CZ-5488,0.3882,0.2894,0.6025
CZ-2247,0.4635,0.2882,0.3684
CZ-5642,0.2951,0.3798,0.4236
CZ-2015,0.2642,0.4272,0.5942
CZ-3895,0.2915,0.309,0.6462
CZ-6653,0.5256,0.2258,0.4341
CZ-6634,0.2528,0.3792,0.3895
CZ-1062,0.3065,0.3769,0.358
CZ-5267,0.2594,0.3074,0.3698
CZ-9673,0.2832,0.3983,0.3189
CZ-7651,0.436,0.3676,0.48
CZ-6912,0.3225,0.4266,0.6496
CZ-8119,0.4208,0.436,0.4717
CZ-3595,0.4271,0.2226,0.1994
CZ-3094,0.5048,0.2697,0.4151
CZ-4256,0.2514,0.3455,0.5249
CZ-4771,0.506,0.2604,0.689
CZ-9193,0.4357,0.2373,0.2921
CZ-8703,0.2988,0.2115,0.4776
CZ-1806,0.4819,0.2828,0.6523
CZ-7121,0.5066,0.2065,0.4912
CZ-8790,0.3263,0.329,0.5806
CZ-4070,0.5256,0.1988,0.443
CZ-7984,0.3863,0.2161,0.5273
CZ-7947,0.431,0.3094,0.5623
CZ-4772,0.5454,0.2685,0.3238
CZ-3537,0.3585,0.3588,0.6048
CZ-5474,0.4939,0.4467,0.2778
CZ-5172,0.3455,0.3385,0.5443
CZ-1923,0.4898,0.3119,0.4657
CZ-5430,0.4302,0.2047,0.3954
CZ-4098,0.3149,0.2226,0.515
CZ-4850,0.3742,0.4344,0.4181
CZ-2340,0.3453,0.2425,0.3764
CZ-3911,0.2734,0.2545,0.4927
CZ-4281,0.259,0.3392,0.4088
CZ-4842,0.3539,0.3066,0.5401
CZ-8568,0.2557,0.2711,0.4046
CZ-4701,0.2996,0.3057,0.6096
CZ-6935,0.4676,0.3781,0.3118
CZ-7854,0.4624,0.2168,0.3878
CZ-2292,0.4716,0.167,0.377
CZ-8085,0.3451,0.3919,0.6641
CZ-5100,0.517,0.3043,0.4725
CZ-8589,0.4281,0.2419,0.4448
CZ-6560,0.2878,0.2071,0.589
CZ-9759,0.2931,0.2725,0.274
CZ-5048,0.4579,0.2782,0.4525
CZ-3066,0.3019,0.4227,0.7629
CZ-5491,0.4022,0.2164,0.497
CZ-9504,0.5475,0.249,0.4282
CZ-3572,0.2512,0.3987,0.6103
CZ-3807,0.255,0.153,0.6504
CZ-3421,0.5479,0.3383,0.1802
CZ-9530,0.4254,0.1978,0.2695
CZ-3016,0.2881,0.3601,0.5542
CZ-7857,0.5192,0.284,0.3462
CZ-4334,0.5141,0.3525,0.5915
CZ-7215,0.4109,0.3408,0.4396
CZ-4653,0.4365,0.0989,0.2345
CZ-1258,0.332,0.2576,0.3584
CZ-7692,0.2652,0.3515,0.2087
CZ-9709,0.4284,0.2759,0.442
CZ-8163,0.3384,0.3567,0.4853
CZ-5819,0.4491,0.3484,0.4104
CZ-9938,0.5009,0.3184,0.5691
CZ-6569,0.2554,0.3262,0.6865
CZ-4953,0.4287,0.1437,0.4495
CZ-5742,0.3194,0.2877,0.2597
CZ-9408,0.5122,0.2997,0.509
CZ-4758,0.3261,0.2349,0.5797
CZ-4225,0.4332,0.3405,0.5052
CZ-9256,0.4161,0.3679,0.593
CZ-2671,0.3688,0.3195,0.3553
CZ-9203,0.4533,0.05,0.7007
CZ-2159,0.4677,0.1774,0.3384
CZ-6346,0.4201,0.4449,0.5635
CZ-7530,0.4775,0.233,0.247
CZ-3268,0.545,0.0978,0.3095
CZ-7866,0.3758,0.4061,0.6741
CZ-7409,0.4044,0.2998,0.4489
CZ-8363,0.2537,0.4323,0.6442
CZ-8185,0.4888,0.2955,0.4731
CZ-5751,0.4061,0.3349,0.4669
CZ-4176,0.3724,0.3373,0.6573
CZ-3503,0.2782,0.3923,0.5047
CZ-7504,0.5169,0.4471,0.2192
CZ-7527,0.3685,0.3871,0.3988
CZ-7729,0.4548,0.1571,0.5251
CZ-9641,0.2948,0.3673,0.5736
CZ-9435,0.5385,0.3498,0.2358
CZ-3835,0.3035,0.4252,0.4356
CZ-3296,0.3099,0.2929,0.4501
CZ-5692,0.5077,0.3609,0.3929
CZ-3725,0.5238,0.3371,0.2649
CZ-5185,0.3136,0.5317,0.4429
CZ-7592,0.3909,0.2427,0.3984
CZ-5837,0.47,0.2384,0.5452
CZ-4276,0.5135,0.2415,0.5314
CZ-3712,0.3637,0.2717,0.4797
CZ-1824,0.4051,0.2273,0.4328
CZ-9417,0.4725,0.0572,0.4683
CZ-1671,0.4693,0.2444,0.3549
CZ-5243,0.4849,0.3041,0.3087
CZ-2191,0.421,0.2542,0.3604
CZ-7085,0.2814,0.4904,0.4556
CZ-4667,0.5212,0.2647,0.2915
CZ-3943,0.5097,0.3704,0.4554
CZ-8686,0.4894,0.2941,0.532
CZ-7200,0.28,0.4021,0.342
CZ-8558,0.3113,0.3489,0.5223
CZ-3201,0.4731,0.3876,0.4249
CZ-1817,0.2569,0.3474,0.5831
CZ-5387,0.5438,0.2966,0.4201
CZ-5641,0.3631,0.3404,0.323
CZ-6321,0.4658,0.2572,0.3029
CZ-8501,0.5163,0.2975,0.4367
CZ-1312,0.3684,0.4882,0.6187
CZ-5156,0.3457,0.2946,0.2391
CZ-2291,0.4326,0.3238,0.5098
CZ-2700,0.4243,0.3933,0.6145
CZ-4540,0.3727,0.3994,0.4751
CZ-9911,0.4305,0.2918,0.5352
CZ-7229,0.5306,0.0701,0.3428
CZ-9548,0.3903,0.3442,0.4718
CZ-6769,0.309,0.1497,0.3257
CZ-3573,0.3632,0.4286,0.2162
CZ-4236,0.3682,0.3231,0.6085
CZ-1291,0.2893,0.4132,0.4103
CZ-7641,0.2989,0.2582,0.4698
CZ-6131,0.4554,0.1592,0.2924
CZ-9051,0.3518,0.3353,0.333
CZ-7594,0.5365,0.2564,0.4038
CZ-6525,0.3231,0.2838,0.4268
CZ-3492,0.2797,0.3429,0.5779
CZ-1061,0.4761,0.4986,0.5044
CZ-7296,0.5143,0.3325,0.4725
CZ-7581,0.3334,0.4039,0.5386
CZ-9319,0.3106,0.3943,0.7089
CZ-6060,0.3057,0.4466,0.3935
CZ-5536,0.4066,0.2828,0.4726
CZ-5349,0.3905,0.1385,0.6219
CZ-9365,0.3278,0.3066,0.6641
CZ-8375,0.2636,0.4059,0.3687
CZ-5007,0.3944,0.2241,0.4468
CZ-2082,0.5378,0.2446,0.5871
CZ-3501,0.4458,0.2309,0.5238
CZ-3622,0.3987,0.4206,0.506
CZ-6969,0.2832,0.395,0.5049
CZ-3618,0.3257,0.3744,0.4671
CZ-3012,0.3384,0.3682,0.5424
CZ-1759,0.4794,0.2732,0.4183
CZ-2249,0.513,0.2819,0.4294
CZ-3569,0.5205,0.169,0.4408
CZ-7469,0.5454,0.0815,0.3396
CZ-7238,0.5447,0.2686,0.4851
CZ-7292,0.5359,0.2851,0.7746
CZ-3029,0.2715,0.4353,0.3227
CZ-3056,0.2913,0.4583,0.5665
CZ-7551,0.3413,0.4432,0.4154
CZ-3751,0.4159,0.2154,0.5446
CZ-2040,0.2791,0.3081,0.5384
CZ-9725,0.5037,0.3073,0.5299
CZ-2143,0.435,0.492,0.6083
CZ-8678,0.4127,0.4146,0.4998
CZ-7421,0.2996,0.4197,0.66
CZ-4755,0.326,0.2912,0.2318
CZ-7550,0.2981,0.2599,0.7157
CZ-4611,0.5056,0.3314,0.4827
CZ-6970,0.4253,0.2044,0.6007
CZ-1737,0.4705,0.2598,0.306
CZ-6254,0.3388,0.3092,0.408
CZ-6130,0.3614,0.439,0.5157
CZ-1563,0.3715,0.2802,0.4919
CZ-4683,0.478,0.0815,0.4832
CZ-3516,0.4817,0.3158,0.5778
CZ-9060,0.312,0.2705,0.3071
CZ-2360,0.5325,0.2637,0.5432
CZ-6185,0.2862,0.3272,0.5308
CZ-3172,0.5188,0.2425,0.4076
CZ-7598,0.2801,0.3992,0.3558
CZ-3513,0.3294,0.1986,0.572
CZ-1165,0.5039,0.2275,0.1487
CZ-1490,0.3038,0.3836,0.6002
CZ-6732,0.3741,0.2587,0.3138
CZ-1718,0.385,0.1758,0.4947
CZ-6623,0.3236,0.3764,0.4998
CZ-3551,0.4631,0.3709,0.5959
CZ-2583,0.5054,0.2648,0.4163
CZ-5250,0.5124,0.1094,0.3515
CZ-6995,0.3518,0.3709,0.4415
CZ-1740,0.4093,0.1644,0.6309
CZ-8053,0.3245,0.3473,0.5781
CZ-2466,0.3234,0.252,0.4679
CZ-5353,0.2984,0.2377,0.4963
CZ-5338,0.532,0.225,0.2385
