Major,Major_category,Total,Men,Women,Median,Unemployment_rate
Economics,Social Science,39000,24000,15000,60000,0.055
Computer Science,Computers & Mathematics,36000,28000,8000,70000,0.045
Nursing,Health,48000,6000,42000,54000,0.025
Mechanical Engineering,Engineering,30000,25500,4500,68000,0.035
Psychology,Psychology & Social Work,52000,13000,39000,42000,0.070
Finance,Business,41000,23000,18000,58000,0.050
Biology,Biology & Life Science,45000,19000,26000,46000,0.060
Mathematics,Computers & Mathematics,18000,10500,7500,57000,0.040
History,Humanities & Liberal Arts,21000,10500,10500,45000,0.065
Education,Education,44000,9000,35000,43000,0.035
