filepath,module,filename,has_license,has_intro,has_summary,anti_sec,anti_note,anti_pip,risk_pdr,risk_inv,risk_hardcode,has_plotting,uses_scripts,score
./05-Micro-Models/02_General_Equilibrium.ipynb,05-Micro-Models,02_General_Equilibrium.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./05-Micro-Models/05_Principal_Agent_Models.ipynb,05-Micro-Models,05_Principal_Agent_Models.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./05-Micro-Models/06_Information_Economics.ipynb,05-Micro-Models,06_Information_Economics.ipynb,False,False,False,True,True,False,False,False,False,True,False,70
./05-Micro-Models/03_Game_Theory_and_Auctions.ipynb,05-Micro-Models,03_Game_Theory_and_Auctions.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./05-Micro-Models/01_Consumer_and_Producer_Theory.ipynb,05-Micro-Models,01_Consumer_and_Producer_Theory.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./05-Micro-Models/04_Discrete_Choice_Models.ipynb,05-Micro-Models,04_Discrete_Choice_Models.ipynb,False,False,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/05_Optimal_Stopping_Problems.ipynb,03-Economic-Modeling,05_Optimal_Stopping_Problems.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/07_Structural_Estimation.ipynb,03-Economic-Modeling,07_Structural_Estimation.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/06_Robust_Control.ipynb,03-Economic-Modeling,06_Robust_Control.ipynb,False,False,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/03_Discrete_Continuous_DP.ipynb,03-Economic-Modeling,03_Discrete_Continuous_DP.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/04_Estimation_and_Calibration.ipynb,03-Economic-Modeling,04_Estimation_and_Calibration.ipynb,False,False,False,True,True,False,False,False,False,True,False,70
./03-Economic-Modeling/02_DP_with_Continuous_States.ipynb,03-Economic-Modeling,02_DP_with_Continuous_States.ipynb,False,True,False,True,True,False,False,True,False,True,False,70
./03-Economic-Modeling/01_Dynamic_Programming.ipynb,03-Economic-Modeling,01_Dynamic_Programming.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/03_Numerical_Differentiation.ipynb,02-Numerical-Methods,03_Numerical_Differentiation.ipynb,False,True,False,True,True,False,False,True,False,True,False,70
./02-Numerical-Methods/05_Optimization.ipynb,02-Numerical-Methods,05_Optimization.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/02_Numerical_Preliminaries.ipynb,02-Numerical-Methods,02_Numerical_Preliminaries.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/04_Root_Finding.ipynb,02-Numerical-Methods,04_Root_Finding.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/07_Numerical_Integration.ipynb,02-Numerical-Methods,07_Numerical_Integration.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/01_Linear_Algebra.ipynb,02-Numerical-Methods,01_Linear_Algebra.ipynb,False,True,False,True,True,False,False,True,False,True,False,70
./02-Numerical-Methods/06_Interpolation_and_Approximation.ipynb,02-Numerical-Methods,06_Interpolation_and_Approximation.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./02-Numerical-Methods/08_Differential_Equations.ipynb,02-Numerical-Methods,08_Differential_Equations.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./10-Specialized-Models/02_General_Equilibrium_with_Heterogeneous_Agents.ipynb,10-Specialized-Models,02_General_Equilibrium_with_Heterogeneous_Agents.ipynb,False,False,False,True,True,True,False,False,False,True,False,50
./10-Specialized-Models/01_Agent_Based_Models.ipynb,10-Specialized-Models,01_Agent_Based_Models.ipynb,False,True,False,True,True,True,False,False,False,True,False,50
./10-Specialized-Models/03_Network_Economics.ipynb,10-Specialized-Models,03_Network_Economics.ipynb,False,False,False,True,True,False,False,False,False,True,False,70
./01-Foundations/22_Computational_Complexity.ipynb,01-Foundations,22_Computational_Complexity.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/07_Dictionaries.ipynb,01-Foundations,07_Dictionaries.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/18_Data_Acquisition_Web_Scraping.ipynb,01-Foundations,18_Data_Acquisition_Web_Scraping.ipynb,True,False,False,False,False,False,False,False,False,False,False,90
./01-Foundations/16_Data_Visualization.ipynb,01-Foundations,16_Data_Visualization.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/17_Effective_Debugging.ipynb,01-Foundations,17_Effective_Debugging.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/03_Python_Fundamentals_Data_Types.ipynb,01-Foundations,03_Python_Fundamentals_Data_Types.ipynb,True,True,False,False,False,False,False,False,False,False,False,90
./01-Foundations/05_Lists_and_Tuples.ipynb,01-Foundations,05_Lists_and_Tuples.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/08_Sets.ipynb,01-Foundations,08_Sets.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/20_Introduction_to_SciPy.ipynb,01-Foundations,20_Introduction_to_SciPy.ipynb,True,False,False,False,False,False,False,True,False,False,False,90
./01-Foundations/12_NumPy.ipynb,01-Foundations,12_NumPy.ipynb,False,True,False,True,True,False,False,True,False,True,False,70
./01-Foundations/02_Professional_Development_Environment.ipynb,01-Foundations,02_Professional_Development_Environment.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/11_Object_Oriented_Programming.ipynb,01-Foundations,11_Object_Oriented_Programming.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/10_Advanced_Functions.ipynb,01-Foundations,10_Advanced_Functions.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/06_Advanced_String_Processing.ipynb,01-Foundations,06_Advanced_String_Processing.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/24_Production_Code_Standards.ipynb,01-Foundations,24_Production_Code_Standards.ipynb,False,True,False,True,True,False,False,False,False,False,False,70
./01-Foundations/21_Symbolic_Computation_with_SymPy.ipynb,01-Foundations,21_Symbolic_Computation_with_SymPy.ipynb,True,False,False,False,False,False,False,False,False,False,False,90
./01-Foundations/15_Accessing_Economic_Data_via_APIs.ipynb,01-Foundations,15_Accessing_Economic_Data_via_APIs.ipynb,True,True,True,False,False,False,False,False,False,True,False,100
./01-Foundations/04_Python_Data_Model.ipynb,01-Foundations,04_Python_Data_Model.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/01_Introduction.ipynb,01-Foundations,01_Introduction.ipynb,True,True,False,False,False,False,False,True,False,True,False,90
./01-Foundations/13_Pandas.ipynb,01-Foundations,13_Pandas.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/14_Introduction_to_Data_Acquisition.ipynb,01-Foundations,14_Introduction_to_Data_Acquisition.ipynb,False,True,False,True,True,False,True,False,False,True,False,70
./01-Foundations/09_Control_Flow_and_Error_Handling.ipynb,01-Foundations,09_Control_Flow_and_Error_Handling.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./01-Foundations/19_Introduction_to_SQL.ipynb,01-Foundations,19_Introduction_to_SQL.ipynb,True,False,False,False,False,False,False,False,False,False,False,90
./01-Foundations/23_Profiling_and_Performance.ipynb,01-Foundations,23_Profiling_and_Performance.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./06-Econometrics/05_Instrumental_Variables.ipynb,06-Econometrics,05_Instrumental_Variables.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./06-Econometrics/10_Vector_Autoregression.ipynb,06-Econometrics,10_Vector_Autoregression.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./06-Econometrics/12_Panel_Data_Methods.ipynb,06-Econometrics,12_Panel_Data_Methods.ipynb,False,True,False,True,True,False,False,True,False,True,False,70
./06-Econometrics/03_Causal_Inference.ipynb,06-Econometrics,03_Causal_Inference.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./06-Econometrics/06_Regression_Discontinuity.ipynb,06-Econometrics,06_Regression_Discontinuity.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
./06-Econometrics/04_GMM.ipynb,06-Econometrics,04_GMM.ipynb,True,False,False,True,True,False,False,True,False,True,False,80
./06-Econometrics/08_Difference_in_Differences.ipynb,06-Econometrics,08_Difference_in_Differences.ipynb,False,True,False,True,True,False,False,False,False,True,False,70
